Category,Name,Brand,Price,Old_Price,Rating,Discount
phones-tablets,Ace Elec 20000 MAh Utra Slim Portable Power Bank [Type C Dual input and Output],Ace,6908.0,6908.0,3.7,0.0
phones-tablets,EASYPIE EasyPie 20000mAh Dual Fast Charge 64W Type-C And Micro-USB Portable Power Bank,EASYPIE,6960.0,8618.0,3.6,19.24
phones-tablets,Philly 20000mAh Power Charging Bank Portable Charger Ultra Slim,Philly,6946.0,12971.0,3.6,46.45
phones-tablets,VIC ♛20000mAh Power Banks 74Wh Portable Charger Ultra Slim Battery Pack( Type C Input),VIC,4910.0,18830.0,3.4,73.92
phones-tablets,Oraimo Traveler 12 20000mAh 12W Power Bank,Oraimo,13635.0,22469.0,4.0,39.32
phones-tablets,Philly 20000mAh Power Charging Bank  Type-C Input,Philly,7650.0,14893.0,3.5,48.63
phones-tablets,"Sunelan S7 1.8"" Screen Phone, Dual SIM, Game, Camera  BL 5C_Battery - Black",Sunelan,6846.0,6846.0,3.8,0.0
phones-tablets,Ace Elec 50000 MAh Power Banks With LED Light Portable Super Fast Charger,Ace,21795.0,21795.0,3.5,0.0
phones-tablets,Philly 30000mAh Power Charging Bank,Philly,13950.0,34570.0,3.5,59.65
phones-tablets,itel 20000mAh Dual Output Fast Charging Power Bank,itel,14950.0,20000.0,3.9,25.25
phones-tablets,"Sunelan S8 1.8"" Screen Phone, Dual SIM, Game, Camera  BL 5C_Battery - Black",Sunelan,6995.0,6995.0,3.9,0.0
phones-tablets,GDTINA 30000mAh Power-Banks Fast Charging  -LED Display Detachable Built-in Cables -LED Light Flashlight,GDTINA,13509.0,47400.0,3.9,71.5
phones-tablets,Philly 30000 MAh Large Capacity Portable Power Bank With LED Lights,Philly,14990.0,34570.0,3.7,56.64
phones-tablets,itel PowerPulse A1160 20000mAh Power-Bank,itel,14800.0,17020.0,3.9,13.04
phones-tablets,Ace Elec Power Banks 10000 MAh Utra Slim Portable Fast Charger,Ace,4898.0,18960.0,3.7,74.17
phones-tablets,itel TWS BUDSNEO 3 Earbuds Earpods BUDS NEO 3 100Hours ENC Black,itel,13800.0,15870.0,4.3,13.04
phones-tablets,XIAOMI REDMI A5 -  6.88   4GB RAM/128GB ROM  -- BLACK,XIAOMI,106685.0,106685.0,4.1,0.0
